rank,university,P,P_top1,PP_top1
1,MIT,9905,339,3.4%
2,Princeton Univ,5466,168,3.1%
3,Caltech,5012,149,3.0%
4,Stanford Univ,17975,532,3.0%
5,Harvard Univ,36163,1003,2.8%
6,Northeast Electric Power Univ,1372,35,2.6%
7,King Abdullah Univ Sci & Technol,3768,95,2.5%
8,Weizmann Inst Sci,2422,60,2.5%
9,Univ Oxford,16697,412,2.5%
10,Swinburne Univ Technol,2513,61,2.4%
11,Univ Cambridge,13895,336,2.4%
12,Ecole Polytech Féd Lausanne,5430,129,2.4%
13,Imperial Coll London,13088,311,2.4%
14,Chengdu Univ Tradit Chin Med,2770,66,2.4%
15,Nanyang Technol Univ,9694,226,2.3%
16,Hunan Univ Technol,934,22,2.3%
17,Duy Tan Univ,1196,28,2.3%
18,Bohai Univ,1025,24,2.3%
19,London Sch Hyg & Trop Med,2647,61,2.3%
20,Univ California - Berkeley,9143,210,2.3%
21,Qingdao Univ Technol,2013,46,2.3%
22,ETH Zürich,9892,224,2.3%
23,Univ South Queensland,1175,26,2.2%
24,Univ W England - Bristol,933,21,2.2%
25,Univ California - San Francisco,10631,234,2.2%
26,Icahn Sch Med - Mt Sinai,6368,139,2.2%
27,Univ Exeter,4354,94,2.2%
28,Cornell Univ,13916,301,2.2%
29,Univ California - Santa Barbara,4029,86,2.1%
30,Univ Coll London,16585,356,2.1%
31,Tsinghua Univ,25595,548,2.1%
32,Yale Univ,12686,271,2.1%
33,Univ California - San Diego,13139,281,2.1%
34,Univ Technol - Sydney,5114,109,2.1%
35,Columbia Univ,13268,277,2.1%
36,Hong Kong Polytech Univ,9140,190,2.1%
37,Univ Texas - Southwestern Med Ctr - Dallas,5257,109,2.1%
38,Australian Cath Univ,824,17,2.1%
39,Natl Univ Singapore,14068,289,2.1%
40,Univ Glasgow,6102,125,2.1%
41,Northwestern Univ,11205,228,2.0%
42,Babol Noshirvani Univ Technol,1295,26,2.0%
43,LUT Univ,920,18,2.0%
44,Singapore Univ Technol & Design,1033,21,2.0%
45,Washington Univ St Louis,9307,186,2.0%
46,Hamad Bin Khalifa Univ,1168,23,2.0%
47,Albert Einstein Coll Med,2313,46,2.0%
48,Queen Mary Univ London,4335,86,2.0%
49,Univ E Anglia,2008,39,1.9%
50,Aston Univ,1018,20,1.9%
51,Zhejiang Ocean Univ,1181,23,1.9%
52,City Univ Hong Kong,6713,128,1.9%
53,Univ Maryland - College Park,6707,127,1.9%
54,Univ California - Los Angeles,14305,271,1.9%
55,King's Coll London,9681,183,1.9%
56,Univ Chicago,10252,193,1.9%
57,Univ Sharjah,1856,35,1.9%
58,Hunan Univ,10462,196,1.9%
59,Univ Washington - Seattle,15004,281,1.9%
60,Univ Penn,16997,317,1.9%
61,Qatar Univ,3301,61,1.9%
62,NYU,11564,214,1.9%
63,RMIT Univ,4433,81,1.8%
64,Chin Univ Hong Kong,8690,157,1.8%
65,Univ Edinburgh,8953,162,1.8%
66,London Sch Econ & Polit Sci,2178,39,1.8%
67,Univ Texas - Hlth Sci Ctr - Houston,9431,170,1.8%
68,Carnegie Mellon Univ,3175,57,1.8%
69,Univ Massachusetts Med Sch,1655,29,1.8%
70,Victoria Univ - Melbourne,940,17,1.8%
71,Univ California - Santa Cruz,1999,35,1.7%
72,Vrije Univ Amsterdam,6270,109,1.7%
73,Univ Liverpool,5625,98,1.7%
74,Cranfield Univ,1572,27,1.7%
75,Zhejiang Gongshang Univ,1859,32,1.7%
76,GuangZhou Univ,4551,78,1.7%
77,Rice Univ,2611,45,1.7%
78,Lovely Professional Univ,1273,22,1.7%
79,Northeast Agr Univ,4372,75,1.7%
80,Univ Michigan,19528,332,1.7%
81,Univ Amsterdam,9681,165,1.7%
82,Univ New S Wales,13067,222,1.7%
83,Univ York,3381,57,1.7%
84,Duke Univ,12481,211,1.7%
85,Univ Surrey,2522,42,1.7%
86,Dublin City Univ,1111,19,1.7%
87,Edith Cowan Univ,1480,25,1.7%
88,Univ St Andrews,1952,33,1.7%
89,"Trinity Coll Dublin, Univ Dublin",3946,66,1.7%
90,Vita-Salute San Raffaele Univ,2144,36,1.7%
91,Northeastern Univ - USA,2944,49,1.7%
92,Univ Colorado - Boulder,5902,98,1.7%
93,South Univ Sci & Technol China,6435,106,1.7%
94,Utrecht Univ,10042,165,1.6%
95,Karolinska Inst,8917,146,1.6%
96,Univ Int Business & Econ,908,15,1.6%
97,Inst Chem Technol,1161,19,1.6%
98,Khalifa Univ Sci & Technol,2325,38,1.6%
99,Deakin Univ,5488,90,1.6%
100,King Fahd Univ Petrol & Minerals,3752,61,1.6%
101,Univ Orléans,846,14,1.6%
102,Nankai Univ,9602,156,1.6%
103,Univ Hong Kong,10001,163,1.6%
104,Queen's Univ Belfast,3519,57,1.6%
105,Southwestern Univ Finance & Econ,1670,27,1.6%
106,Univ PSL,4384,71,1.6%
107,Wageningen Univ & Res,5723,93,1.6%
108,Brunel Univ London,1459,24,1.6%
109,Vanderbilt Univ,8610,139,1.6%
110,Hong Kong Baptist Univ,1700,27,1.6%
111,Univ Potsdam,1985,32,1.6%
112,Swansea Univ,2161,35,1.6%
113,Univ Birmingham,7012,113,1.6%
114,McMaster Univ,7391,119,1.6%
115,Univ Leicester,2597,41,1.6%
116,China Univ Geosci,7202,115,1.6%
117,Keele Univ,927,15,1.6%
118,Univ Massachusetts Amherst,3735,60,1.6%
119,Durham Univ,3190,51,1.6%
120,Univ Southampton,5910,94,1.6%
121,Hong Kong Univ Sci & Technol,4513,71,1.6%
122,Leiden Univ,7466,118,1.6%
123,Univ N Carolina - Chapel Hill,10585,166,1.6%
124,Northumbria Univ,1803,28,1.6%
125,Univ Sussex,2192,34,1.6%
126,Univ Queensland,13003,203,1.6%
127,City St Georges - Univ London,1844,29,1.6%
128,Boston Coll,1410,22,1.6%
129,Nanchang Hangkong Univ,1427,22,1.5%
130,Beijing Technol & Business Univ,2546,39,1.5%
131,Univ Texas - Austin,9841,152,1.5%
132,Zhejiang Normal Univ,3099,48,1.5%
133,Johns Hopkins Univ,18570,285,1.5%
134,Univ Manchester,10327,158,1.5%
135,Univ Graz,1473,23,1.5%
136,Univ Warwick,4596,70,1.5%
137,Nottingham Trent Univ,1204,18,1.5%
138,Brown Univ,5755,87,1.5%
139,Johannes Gutenberg Univ Mainz,4214,64,1.5%
140,Univ Huddersfield,976,15,1.5%
141,Univ Sheffield,6108,92,1.5%
142,Katholieke Univ Leuven,11623,175,1.5%
143,Univ Electron Sci & Technol China,13538,203,1.5%
144,Northwestern Polytech Univ,14354,215,1.5%
145,James Cook Univ,2089,31,1.5%
146,Baylor Coll Med,5457,82,1.5%
147,Univ Basel,5179,78,1.5%
148,Monash Univ,13806,206,1.5%
149,Univ Algarve,848,13,1.5%
150,Ctr Queensland Univ,1026,15,1.5%
151,Univ of Dhaka,972,14,1.5%
152,Univ Sydney,14408,214,1.5%
153,Ton Duc Thang Univ,1591,24,1.5%
154,Univ Tek Malaysia,3046,45,1.5%
155,Univ Münster,5210,77,1.5%
156,Univ Bern,6751,100,1.5%
157,Royal Coll Surgeons Ireland,1095,16,1.5%
158,Tech Univ Berlin,3288,48,1.5%
159,Radboud Univ,7136,105,1.5%
160,Bangor Univ,858,13,1.5%
161,Peking Univ,23196,340,1.5%
162,Univ Leeds,6471,95,1.5%
163,Qingdao Univ,9718,142,1.5%
164,Boston Univ,7123,104,1.5%
165,Kermanshah Univ Med Sci,1302,19,1.5%
166,Univ California - Merced,1093,16,1.5%
167,McGill Univ,11467,167,1.5%
168,Georg-August-Univ Göttingen,5063,74,1.5%
169,Univ Melbourne,15085,219,1.5%
170,Cent China Normal Univ,2951,43,1.4%
171,Politec Bari,1091,16,1.4%
172,Nanjing Univ Finance & Econ,961,14,1.4%
173,Colorado Sch Mines,1470,21,1.4%
174,Liverpool John Moores Univ,1337,19,1.4%
175,Univ Bristol,6488,94,1.4%
176,Maastricht Univ,5786,83,1.4%
177,Univ California - Riverside,3540,51,1.4%
178,Nanjing Forestry Univ,6785,97,1.4%
179,Georgia Inst Technol,6532,94,1.4%
180,Univ Paris-Cité (EPE),9936,142,1.4%
181,Univ Toronto,25229,361,1.4%
182,Oregon Hlth & Sci Univ,4076,58,1.4%
183,Curtin Univ,4363,62,1.4%
184,West Sydney Univ,2743,39,1.4%
185,Univ Bath,2926,42,1.4%
186,Southwest Jiaotong Univ,8978,128,1.4%
187,Univ South California,9473,135,1.4%
188,Univ Galway,2421,34,1.4%
189,Univ Groningen,9263,131,1.4%
190,Univ Zurich,9501,134,1.4%
191,Changsha Univ Sci & Technol,2726,38,1.4%
192,Univ Kragujevac,943,13,1.4%
193,Tufts Univ,3569,50,1.4%
194,Luleå Univ Technol,1409,20,1.4%
195,China Agr Univ,10124,142,1.4%
196,Univ Cent Florida,3639,51,1.4%
197,Humanitas Univ,1258,18,1.4%
198,Lancaster Univ,2564,36,1.4%
199,Saveetha Inst Med & Tech Sci,1242,17,1.4%
200,Univ Sci & Technol China,17005,237,1.4%
201,Delft Univ Technol,6905,96,1.4%
202,Univ Adelaide,6068,84,1.4%
203,Aalborg Univ,4376,61,1.4%
204,Univ Lausanne,4750,66,1.4%
205,Xi'an Univ Arch & Technol,4120,57,1.4%
206,Univ Dundee,1452,20,1.4%
207,Shandong Univ Finance & Econ,810,11,1.4%
208,Univ Wuppertal,803,11,1.4%
209,Univ Sains Malaysia,4895,67,1.4%
210,Case West Reserve Univ,10826,149,1.4%
211,Erasmus Univ Rotterdam,7832,108,1.4%
212,Univ California - Davis,10365,143,1.4%
213,Beijing Inst Technol,13465,185,1.4%
214,Univ Macau,3549,49,1.4%
215,Univ Konstanz,1502,21,1.4%
216,Temple Univ,3226,44,1.4%
217,Tech Univ Denmark,5935,81,1.4%
218,Hangzhou Normal Univ,2524,34,1.4%
219,Univ Calgary,8177,111,1.4%
220,Univ Trento,2483,34,1.4%
221,Univ West Australia,6291,85,1.4%
222,Chang'an Univ,5100,69,1.4%
223,Dartmouth Coll,2702,37,1.4%
224,Univ Geneva,5610,76,1.4%
225,Murdoch Univ,1464,20,1.3%
226,Sorbonne Univ,8970,121,1.3%
227,Univ Pittsburgh,12063,162,1.3%
228,Univ Beira Interior,1051,14,1.3%
229,Stony Brook Univ - SUNY,3872,52,1.3%
230,Chongqing Univ,15412,206,1.3%
231,Australian Natl Univ,5440,73,1.3%
232,Univ California - Irvine,7286,97,1.3%
233,Univ Nottingham,8070,107,1.3%
234,North Arizona Univ,1045,14,1.3%
235,Humboldt Univ Berlin,5320,71,1.3%
236,Nanjing Univ Sci & Technol,8858,118,1.3%
237,Macquarie Univ,4299,57,1.3%
238,Pompeu Fabra Univ,1448,19,1.3%
239,Newcastle Univ,4948,65,1.3%
240,Univ Coll Cork,2674,35,1.3%
241,Jamia Millia Islamia,1475,19,1.3%
242,Univ British Columbia,14156,186,1.3%
243,Univ Minnesota - Twin Cities,12870,169,1.3%
244,Univ Regina,1024,13,1.3%
245,Pomeranian Med Univ Szczecin,1221,16,1.3%
246,Univ Catanzaro,1264,16,1.3%
247,Univ S Australia,2511,33,1.3%
248,Loughborough Univ,2583,34,1.3%
249,Stockholm Univ,4076,53,1.3%
250,Freie Univ Berlin,5792,75,1.3%
251,Univ Sorbonne Paris Nord,1043,14,1.3%
252,Univ Sci & Technol Beijing,11327,147,1.3%
253,Univ New England - Australia,1156,15,1.3%
254,La Trobe Univ,3215,42,1.3%
255,Univ Vienna,4653,60,1.3%
256,Univ Ferrara,2223,29,1.3%
257,Tongji Univ,19133,246,1.3%
258,Univ Waterloo,6688,86,1.3%
259,Eindhoven Univ Technol,3744,48,1.3%
260,Univ Copenhagen,14736,189,1.3%
261,Shenzhen Univ,11014,142,1.3%
262,Univ Luxembourg,1516,19,1.3%
263,Griffith Univ,4713,61,1.3%
264,Univ Wisconsin - Madison,12306,158,1.3%
265,Univ Gothenburg,6215,80,1.3%
266,Zhejiang Univ,40492,517,1.3%
267,Univ Minho,2994,38,1.3%
268,Georgia State Univ,2253,29,1.3%
269,Univ Aberdeen,2167,28,1.3%
270,Stevens Inst Technol,821,10,1.3%
271,Clemson Univ,2973,38,1.3%
272,Univ Libre Bruxelles,3286,42,1.3%
273,Univ Bonn,5141,65,1.3%
274,Ludwig-Maximilians Univ München,8509,108,1.3%
275,Georgetown Univ,2628,33,1.3%
276,Penn State Univ,12396,157,1.3%
277,Emory Univ,8589,109,1.3%
278,Univ Coll Dublin,4639,59,1.3%
279,Rheinland-Pfälzische Tech Univ Kaiserslautern-Landau,1562,20,1.3%
280,Univ Paris-Saclay (EPE),8370,106,1.3%
281,Univ Freiburg,5426,69,1.3%
282,Anhui Univ Technol,2173,27,1.3%
283,Univ Stavanger,1243,16,1.3%
284,Univ Wollongong,3737,47,1.3%
285,E China Jiaotong Univ,1554,20,1.3%
286,Harbin Inst Technol,22769,286,1.3%
287,Univ Camerino,865,11,1.3%
288,Huazhong Univ Sci & Technol,29549,370,1.3%
289,Cardiff Univ,4689,59,1.3%
290,Julius Maximilian Univ Würzburg,4027,50,1.3%
291,Univ Stirling,937,12,1.3%
292,St Anna Sch Adv Studies,847,11,1.2%
293,Univ Arizona,7237,90,1.2%
294,Vrije Univ Brussel,2964,37,1.2%
295,Univ Texas - Med Branch - Galveston,1734,22,1.2%
296,Univ Ottawa,7446,93,1.2%
297,Univ Alabama - Birmingham,5808,72,1.2%
298,Florida Atlantic Univ,1307,16,1.2%
299,Shanghai Univ,9248,115,1.2%
300,Charles Darwin Univ,893,11,1.2%
301,Colorado State Univ,4540,56,1.2%
302,Aligarh Muslim Univ,2167,27,1.2%
303,Malaviya Natl Inst Technol Jaipur,1174,15,1.2%
304,Chengdu Univ,1630,20,1.2%
305,Beijing Univ Chem Technol,6911,85,1.2%
306,Univ Kashan,1337,17,1.2%
307,Univ Portsmouth,1325,16,1.2%
308,Med Univ Graz,1839,23,1.2%
309,Auckland Univ Technol,1346,17,1.2%
310,Univ Plymouth,1193,15,1.2%
311,Univ Chin Acad Sci,24421,300,1.2%
312,Michigan State Univ,8284,102,1.2%
313,Univ Newcastle,3926,48,1.2%
314,ShanghaiTech Univ,1817,22,1.2%
315,Univ Auckland,6441,79,1.2%
316,Univ Rochester,4586,56,1.2%
317,Univ Toledo,1486,18,1.2%
318,Wuhan Univ,21977,267,1.2%
319,China Univ Petrol E China,6904,84,1.2%
320,United Arab Emirates Univ,2164,26,1.2%
321,Donghua Univ,5330,65,1.2%
322,Univ N Texas,2035,25,1.2%
323,Beihang Univ,13019,157,1.2%
324,Univ Virginia,6367,77,1.2%
325,Ohio State Univ,13908,168,1.2%
326,Univ Nebraska Med Ctr,2201,26,1.2%
327,Wenzhou Univ,2257,27,1.2%
328,Ghent Univ,10411,125,1.2%
329,Univ Strathclyde,2550,31,1.2%
330,Shandong Univ Tradit Chin Med,1648,20,1.2%
331,Fuzhou Univ,6311,76,1.2%
332,Univ Reading,2266,27,1.2%
333,Univ Texas - Hlth Sci Ctr - San Antonio,1744,21,1.2%
334,Amer Univ Sharjah,846,10,1.2%
335,Shanghai Univ Finance & Econ,1065,13,1.2%
336,Univ Catholique Louvain,3781,45,1.2%
337,Univ Vigo,2490,30,1.2%
338,China Three Gorges Univ,2557,31,1.2%
339,Tulane Univ,2608,31,1.2%
340,Drexel Univ,2433,29,1.2%
341,Univ Teknologi Petronas,1885,22,1.2%
342,Northeast Petr Univ,1473,18,1.2%
343,N Univ China,3381,40,1.2%
344,Univ Malta,814,10,1.2%
345,Indiana Univ - Bloomington,3965,47,1.2%
346,Mem Univ Newfoundland,2614,31,1.2%
347,Rutgers - State Univ New Jersey,8850,105,1.2%
348,Nanjing Univ,15559,185,1.2%
349,Univ Connecticut,5689,67,1.2%
350,North-West Univ,1913,23,1.2%
351,Univ Innsbruck,2449,29,1.2%
352,Macao Univ Sci & Technol,1574,19,1.2%
353,Cent Univ Finance & Econ,916,11,1.2%
354,Amity Univ Noida,1134,13,1.2%
355,China Univ Geosci Beijing,4541,53,1.2%
356,Univ Naples Federico II,9075,107,1.2%
357,Univ Victoria,2320,27,1.2%
358,Univ Waikato,1066,12,1.2%
359,Renmin Univ China,3007,35,1.2%
360,Aalto Univ,3505,41,1.2%
361,Univ Tennessee - Knoxville,5674,66,1.2%
362,Univ Hull,998,12,1.2%
363,Univ Utah,8021,94,1.2%
364,Foshan Univ,1309,15,1.2%
365,Univ Georgia - Athens,5994,70,1.2%
366,Fudan Univ,24737,288,1.2%
367,Univ Politec Marche,2505,29,1.2%
368,Augusta Univ,1535,18,1.2%
369,Univ Colorado - Denver,7454,87,1.2%
370,Natl Inst Technol Patna,875,10,1.2%
371,Zhejiang A & F Univ,2112,24,1.2%
372,Semmelweis Univ,1837,21,1.2%
373,Univ Aut Barcelona,5763,67,1.2%
374,Transylvania Univ Brasov,944,11,1.2%
375,Univ Guelph,4152,48,1.2%
376,Ulm Univ,3258,38,1.2%
377,S China Univ Technol,15200,176,1.2%
378,Shanghai Jiao Tong Univ,37612,434,1.2%
379,Flinders Univ,2948,34,1.2%
380,Virginia Tech,6265,72,1.2%
381,Med Univ Vienna,4913,57,1.2%
382,SSN Coll Engn,1026,12,1.2%
383,Univ Nevada - Reno,2187,25,1.2%
384,Univ Helsinki,8087,93,1.2%
385,York Univ,2948,34,1.2%
386,Manchester Metropolitan Univ,1346,15,1.2%
387,Dalian Univ Technol,15274,176,1.1%
388,Univ Luebeck,1439,17,1.1%
389,Purdue Univ,9805,113,1.1%
390,Taizhou Univ,1150,13,1.1%
391,Coll William & Mary,818,9,1.1%
392,Natl & Kapodistrian Univ Athens,6104,70,1.1%
393,Univ Pavia,3445,39,1.1%
394,Univ Verona,2703,31,1.1%
395,Univ Montpellier (EPE),6891,79,1.1%
396,Zhengzhou Univ Light Industry,1798,21,1.1%
397,Gdańsk Univ Technol,2381,27,1.1%
398,Univ Palermo,3888,44,1.1%
399,Univ Barcelona,7208,82,1.1%
400,Heidelberg Univ,8274,94,1.1%
401,Univ Mississippi,2293,26,1.1%
402,Univ New Brunswick,1133,13,1.1%
403,Univ Cologne,4837,55,1.1%
404,Guangdong Univ Technol,6751,76,1.1%
405,Shiraz Univ Technol,827,9,1.1%
406,Univ Rhode Island,1372,15,1.1%
407,KTH Royal Inst Technol,4328,49,1.1%
408,Sejong Univ,2796,31,1.1%
409,Univ Shanghai Sci & Technol,5353,60,1.1%
410,Goethe Univ Frankfurt,4523,51,1.1%
411,George Mason Univ,2290,26,1.1%
412,Univ Nebraska - Lincoln,3396,38,1.1%
413,First Moscow State Med Univ,1157,13,1.1%
414,Syracuse Univ,1674,19,1.1%
415,West Univ - Canada,7073,79,1.1%
416,Univ Illinois - Urbana-Champaign,9775,109,1.1%
417,Univ Alberta,11835,132,1.1%
418,Univ Missouri - Columbia,4572,51,1.1%
419,Med Univ S Carolina,2675,30,1.1%
420,Florida Intl Univ,2728,30,1.1%
421,Delhi Technol Univ,1631,18,1.1%
422,Univ Canterbury,1649,18,1.1%
423,Uppsala Univ,7201,80,1.1%
424,Univ Campania Luigi Vanvitelli,3279,36,1.1%
425,Shenyang Univ Technol,1813,20,1.1%
426,Univ Agr Faisalabad,1918,21,1.1%
427,Univ Paris-Est Créteil Val de Marne,1655,18,1.1%
428,Jiangsu Univ,12152,135,1.1%
429,Agr Univ Athens,951,11,1.1%
430,Univ Tasmania,3185,35,1.1%
431,Univ Florence,6621,73,1.1%
432,Shantou Univ,2914,32,1.1%
433,Henan Univ,4822,53,1.1%
434,Politec Milano,5941,66,1.1%
435,Loma Linda Univ,995,11,1.1%
436,Tianjin Univ,19765,218,1.1%
437,Vellore Inst Technol,5896,65,1.1%
438,Wrocław Med Univ,2317,25,1.1%
439,Sabancı Univ,802,9,1.1%
440,Queensland Univ Technol,4572,50,1.1%
441,Univ Catania,3827,42,1.1%
442,Justus Liebig Univ Giessen,2850,31,1.1%
443,Tianjin Univ Sci & Technol,2395,26,1.1%
444,Chongqing Univ Sci & Technol,814,9,1.1%
445,Univ Hawaii - Manoa,2653,29,1.1%
446,Virginia Commonwealth Univ,4330,47,1.1%
447,Sichuan Univ,33023,359,1.1%
448,Qingdao Agr Univ,2204,24,1.1%
449,Cent S Univ,30394,330,1.1%
450,Univ Nova Lisboa,2756,30,1.1%
451,Dalhousie Univ,4028,44,1.1%
452,Anhui Univ,4348,47,1.1%
453,Univ Twente,3223,35,1.1%
454,Med Univ Białystok,1425,15,1.1%
455,Xian Univ Sci & Technol,2607,28,1.1%
456,Simon Fraser Univ,2735,30,1.1%
457,Univ Delaware,3479,38,1.1%
458,Carleton Univ,2477,27,1.1%
459,Imam Khomeini Int Univ,867,9,1.1%
460,Xiamen Univ,12872,139,1.1%
461,Univ Ulster,1310,14,1.1%
462,Univ Oklahoma,4078,44,1.1%
463,Univ Oslo,8104,87,1.1%
464,Wayne State Univ,3709,40,1.1%
465,Chongqing Technol & Business Univ,994,11,1.1%
466,Shenyang Aerosp Univ,929,10,1.1%
467,Univ Calabria,2040,22,1.1%
468,St Louis Univ,1546,17,1.1%
469,Govt Coll Univ Faisalabad,1770,19,1.1%
470,Univ Toulouse (EPE),4949,53,1.1%
471,Shanghai Maritime Univ,2198,23,1.1%
472,Univ Johannesburg,3086,33,1.1%
473,Univ Salento,1418,15,1.1%
474,Univ Miami,6063,65,1.1%
475,Kafrelsheikh Univ,1210,13,1.1%
476,Univ Oulu,3057,32,1.1%
477,Univ Houston,3957,42,1.1%
478,Kwangwoon Univ,1049,11,1.1%
479,Univ Texas - San Antonio,1703,18,1.1%
480,Wuhan Institute Technol,2117,22,1.1%
481,Norwegian Univ Sci & Technol,7080,75,1.1%
482,Sogang Univ,1183,12,1.1%
483,Tech Univ Munich,9805,104,1.1%
484,Aarhus Univ,8385,89,1.1%
485,Panjab Univ,1828,19,1.1%
486,Shaanxi Univ Sci & Technol,3206,34,1.1%
487,Med Univ Lublin,1977,21,1.1%
488,Univ Limerick,1805,19,1.1%
489,Univ Oregon,2096,22,1.1%
490,George Washington Univ,3938,41,1.1%
491,Missouri Univ Sci & Technol,1527,16,1.0%
492,Xidian Univ,8522,89,1.0%
493,Univ Navarra,1800,19,1.0%
494,Wake Forest Univ,2902,30,1.0%
495,Univ Idaho,1247,13,1.0%
496,Beijing Jiaotong Univ,6781,71,1.0%
497,İzmir Katip Çelebi Univ,910,10,1.0%
498,Natl Inst Technol Warangal,1261,13,1.0%
499,Rush Univ,2428,25,1.0%
500,Univ Iowa,5978,62,1.0%
501,Univ Coimbra,4552,47,1.0%
502,Univ Porto,8070,84,1.0%
503,Univ Kurdistan,1035,11,1.0%
504,Washington State Univ,4070,42,1.0%
505,New Jersey Inst Technol,1144,12,1.0%
506,Univ Buffalo - SUNY,4748,49,1.0%
507,Univ Kassel,1124,12,1.0%
508,Univ Tennessee Hlth Sci Ctr,1530,16,1.0%
509,Univ N Dakota,824,9,1.0%
510,Zhengzhou Univ,18021,187,1.0%
511,E China Normal Univ,6981,72,1.0%
512,Univ Campus Bio-Medico Roma,932,10,1.0%
513,Texas A&M Univ - College Stn,11091,115,1.0%
514,Univ Cyprus,1093,11,1.0%
515,Univ Tartu,2073,21,1.0%
516,Yantai Univ,2148,22,1.0%
517,Wuhan Univ Sci & Technol,3790,39,1.0%
518,Beijing Normal Univ,9242,95,1.0%
519,Univ Trás-os-Montes & Alto Douro,850,9,1.0%
520,Pohang Univ Sci & Technol,3499,36,1.0%
521,Nanjing Univ Posts & Telecom,4444,46,1.0%
522,Tech Univ Dresden,5780,59,1.0%
523,Düzce Univ,817,8,1.0%
524,Shandong Second Med Univ,1215,12,1.0%
525,Univ Tehran,7903,81,1.0%
526,Babeș-Bolyai Univ,1472,15,1.0%
527,Beijing Univ Posts & Telecom,5290,54,1.0%
528,Univ Kashmir,966,10,1.0%
529,Jiangsu Normal Univ,1720,18,1.0%
530,Bilkent Univ,1020,10,1.0%
531,Med Coll Wisconsin,2704,28,1.0%
532,Univ Albany - SUNY,1664,17,1.0%
533,Swed Univ Agr Sci,2689,27,1.0%
534,Univ Milan,9244,94,1.0%
535,Univ Massachusetts Lowell,1056,11,1.0%
536,Rensselaer Polytech Inst,1274,13,1.0%
537,Tabriz Univ Med Sci,3353,34,1.0%
538,Leipzig Univ,4070,42,1.0%
539,Xi'an Jiaotong Univ,26520,271,1.0%
540,Zhejiang Univ Technol,7227,74,1.0%
541,Univ Greifswald,1645,17,1.0%
542,Univ Cape Town,3663,37,1.0%
543,Univ Duisburg-Essen,4243,43,1.0%
544,Louisiana State Univ,3379,34,1.0%
545,Univ Maryland - Baltimore County,838,8,1.0%
546,Texas State Univ,1148,12,1.0%
547,Univ Padova,10354,105,1.0%
548,N Carolina State Univ,7285,74,1.0%
549,Ulsan Natl Inst Sci & Technol,2612,26,1.0%
550,Univ l'Aquila,1923,19,1.0%
551,Agr Univ Hebei,1552,16,1.0%
552,Shandong Normal Univ,3697,37,1.0%
553,Florida State Univ,4007,40,1.0%
554,Univ Bari Aldo Moro,4068,41,1.0%
555,Univ S Florida - Tampa,4610,46,1.0%
556,Hunan Agr Univ,2197,22,1.0%
557,Shahrekord Univ,825,8,1.0%
558,Fordham Univ,868,9,1.0%
559,Fujian Agr & Forestry Univ,3579,36,1.0%
560,Northeastern Univ - China,12909,129,1.0%
561,Educ Univ Hong Kong,1345,13,1.0%
562,Shandong Univ Sci & Technol,5814,58,1.0%
563,Concordia Univ,2796,28,1.0%
564,Karlsruhe Inst Technol,6269,63,1.0%
565,Philipps-Univ Marburg,2390,24,1.0%
566,Univ Putra Malaysia,4800,48,1.0%
567,Sun Yat-sen Univ,27994,279,1.0%
568,Lund Univ,8379,84,1.0%
569,Guru Nanak Dev Univ,1081,11,1.0%
570,Siksha ‘O’ Anusandhan,1059,11,1.0%
571,Manipal Acad High Educ,2876,29,1.0%
572,Univ Bordeaux,4168,41,1.0%
573,Minia Univ,1206,12,1.0%
574,Guangdong Med Univ,1461,15,1.0%
575,Nazarbayev Univ,1224,12,1.0%
576,Indian Inst Technol Mandi,976,10,1.0%
577,Univ Maryland - Baltimore,4492,45,1.0%
578,Univ Ontario Inst Technol,959,10,1.0%
579,Uniformed Services Univ Hlth Sci,1476,15,1.0%
580,Inst Polytech Paris (EPE),2658,26,1.0%
581,Univ Kent,1549,15,1.0%
582,Univ Mngmt & Tech,855,8,1.0%
583,Nanchang Univ,10284,102,1.0%
584,Univ Bayreuth,1855,18,1.0%
585,Michigan Technol Univ,1076,11,1.0%
586,Skolkovo Inst Sci & Technol,1070,11,1.0%
587,Univ Bremen,1978,20,1.0%
588,Jiangnan Univ,10564,104,1.0%
589,Univ Med & Pharma Carol Davila Bucharest,1478,15,1.0%
590,King Abdulaziz Univ,7980,79,1.0%
591,Iowa State Univ,5032,50,1.0%
592,Chemnitz Univ Technol,958,9,1.0%
593,Josip Juraj Strossmayer Univ Osijek,962,9,1.0%
594,Johannes Kepler Univ Linz,1493,15,1.0%
595,Utah State Univ,2064,20,1.0%
596,Politec Torino,4265,42,1.0%
597,Linköping Univ,3751,37,1.0%
598,Univ Bologna,9873,97,1.0%
599,South Methodist Univ,906,9,1.0%
600,Xi'An Univ Technol,4248,42,1.0%
601,Univ Turku,3531,35,1.0%
602,Univ Wisconsin - Milwaukee,1423,14,1.0%
603,Univ Pisa,6231,61,1.0%
604,Univ Turin,6468,63,1.0%
605,Friedrich-Alexander-Univ Erlangen-Nürnberg,6445,63,1.0%
606,Univ South Denmark,4784,47,1.0%
607,Martin Luther Univ Halle-Wittenberg,2136,21,1.0%
608,China Acad Chin Med Sci,2095,20,1.0%
609,Upstate Med Univ - SUNY,885,9,1.0%
610,Univ Florida,13764,134,1.0%
611,Yeshiva Univ,1043,10,1.0%
612,Med Univ Innsbruck,1883,18,1.0%
